word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
ὁτι,0.024768469,0.027741656,0.027540564,0.02516129,0.02695595,0.02609249,0.02721667,0.0252386,0.027572731,0.026424984,0.029418127,0.025928367,0.027270775,0.026292916,0.026405451,0.027699019,0.028856355,0.026304534,0.030486486,0.024912587,0.031168831,0.025529129,0.025064267,0.024515029,0.028181418
περισσος,0.00021537799,0.00021673169,0.0010674637,0.00021505376,0.00087661626,0.00084853627,0.00042526047,0.00042417815,0,0.00021838829,0.00021630976,0.00043946385,0.00021473051,0,0.00042589438,0.00087241003,0.00084871632,0.00064157399,0.00021621622,0.00021853147,0.00043290043,0.00021819769,0.00042844901,0.00042634833,0.00044033465
καλυψε,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0,0,0.00021645022,0,0,0.00021317416,0
οὑτως,0.0088304975,0.0084525358,0.010034159,0.0092473118,0.0089853167,0.010182435,0.0074420583,0.0078472959,0.01150673,0.011137803,0.0069219122,0.010547132,0.0077302985,0.0086918731,0.0085178876,0.0087241003,0.0084871632,0.010479042,0.008,0.0091783217,0.0086580087,0.0063277329,0.0087832048,0.012577276,0.0094671951
παραληγουσα,0,0,0,0.00021505376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
κτερισαιεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021853147,0,0,0,0,0
ἀντι,0.0088304975,0.0065019506,0.0072587532,0.0068817204,0.0087661626,0.0072125583,0.0065915373,0.0084835631,0.0080330004,0.0072068137,0.0095176292,0.010327401,0.007945029,0.0065189048,0.010221465,0.0074154853,0.0057288351,0.0087681779,0.0084324324,0.0083041958,0.0073593074,0.0082915121,0.0092116538,0.009166489,0.0061646852
εοικεν,0,0,0,0,0,0,0.00021263024,0,0,0.00021838829,0,0.00021973193,0,0,0,0,0,0,0,0,0,0,0.00021422451,0.00021317416,0
abbr:pers.pers,0.066551798,0.065236238,0.068104184,0.066021505,0.065965374,0.069792109,0.066553264,0.068292683,0.062527139,0.074033632,0.070084361,0.069435289,0.068713764,0.071490656,0.07048552,0.06695747,0.067472947,0.069717707,0.063135135,0.064903846,0.068398268,0.065677504,0.065981148,0.060328288,0.072435051
νεμεσσηθεωμεν,0,0.00021673169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αλλῳ,0.00043075598,0.00043346337,0.00021349274,0.0010752688,0.0006574622,0.00021213407,0.00063789071,0,0.00065132436,0.00065516488,0.00043261951,0.00021973193,0.00042946103,0.001303781,0.00021294719,0.00065430752,0.00021217908,0.000213858,0.0010810811,0.00021853147,0.00021645022,0.00065459306,0.00021422451,0.00042634833,0.00066050198
ἐμμεμαυια,0,0,0,0,0,0,0,0.00021208908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γραφεται,0.0015076459,0.0030342436,0.00064047822,0.0012903226,0.0028490028,0.0021213407,0.0025515628,0.0023329799,0.0019539731,0.0032758244,0.0023794073,0.0024170512,0.0030062272,0.0021729683,0.0019165247,0.001308615,0.0023339699,0.00213858,0.0021621622,0.0024038462,0.0028138528,0.0015273838,0.0029991431,0.0029844383,0.0015411713
ἀμφι,0.00043075598,0.00043346337,0.00064047822,0.00021505376,0.0006574622,0.00042426814,0.0010631512,0.00021208908,0.00043421624,0.0010919415,0.00064892927,0.00043946385,0.00064419154,0.00021729683,0.00085178876,0.00065430752,0.00042435816,0.000213858,0.00043243243,0.00043706294,0.00021645022,0.00043639537,0.0010711225,0.00021317416,0.00066050198
ριανον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021810251,0,0,0,0,0,0,0,0,0
ταχ,0,0.00021673169,0,0,0,0,0.00021263024,0,0.00021710812,0.00021838829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ἐμελλον,0,0,0.00021349274,0.00021505376,0,0.00021213407,0,0.00021208908,0,0.00021838829,0,0,0,0,0,0.00021810251,0,0,0.00021621622,0,0.00021645022,0.00021819769,0.00021422451,0.00021317416,0.00022016733
ἐξαναβασαι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
πλειους,0.00043075598,0.00021673169,0,0.00064516129,0.00021915407,0.00021213407,0,0.00021208908,0,0,0,0.00021973193,0.00042946103,0.00043459365,0.00085178876,0.00043620502,0.00021217908,0.000427716,0.00043243243,0.00021853147,0.00064935065,0.00043639537,0,0.00042634833,0.00022016733
εἱπεν,0.00043075598,0.00065019506,0.00021349274,0.00043010753,0.00087661626,0.0010606703,0.0010631512,0.00063626723,0.00043421624,0.00043677659,0.00086523902,0.00087892771,0,0.00086918731,0.00021294719,0.00021810251,0.00042435816,0.00064157399,0.0010810811,0.00021853147,0.00086580087,0.00043639537,0.00064267352,0.00021317416,0
εαυτον,0,0.00021673169,0,0.00021505376,0,0,0.00042526047,0.00021208908,0.00021710812,0,0.00021630976,0,0,0.00021729683,0,0,0,0,0,0,0.00021645022,0.00021819769,0,0,0
εἰη,0.00043075598,0.00021673169,0,0,0.00021915407,0,0.00042526047,0,0.00086843248,0.00021838829,0.00086523902,0.00021973193,0.00064419154,0.00021729683,0.00063884157,0.00021810251,0.00021217908,0.00064157399,0.00021621622,0,0.00021645022,0.00021819769,0.00064267352,0.00021317416,0
δωρα,0,0.00065019506,0.00042698548,0,0,0.00042426814,0,0.00042417815,0.00021710812,0.00021838829,0,0.00021973193,0,0.00021729683,0,0,0,0,0.00021621622,0.00043706294,0,0,0.00021422451,0,0
φερει,0,0,0.00021349274,0,0.00043830813,0.00021213407,0.00021263024,0.00021208908,0,0.00043677659,0.00021630976,0,0.00021473051,0.00021729683,0.00021294719,0.00021810251,0,0,0,0,0,0.00021819769,0,0,0
ταχεως,0.00021537799,0.00043346337,0.00021349274,0.00021505376,0.00043830813,0,0.00042526047,0.00021208908,0,0.00043677659,0.00064892927,0.00021973193,0,0,0,0.00021810251,0.00021217908,0,0.00021621622,0.00065559441,0.00021645022,0,0.00042844901,0.00021317416,0.00066050198
οἱον,0.0023691579,0.0013003901,0.0012809564,0.0017204301,0.0013149244,0.0010606703,0.0010631512,0.0010604454,0.00043421624,0.0017471064,0.0019467878,0.0026367831,0.0025767662,0.00065189048,0.0021294719,0.00065430752,0.0023339699,0.001710864,0.0010810811,0.0017482517,0.0023809524,0.00065459306,0.00085689803,0.001279045,0.0015411713
φιλῃσι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021810251,0,0,0,0,0,0,0,0,0
νεκρον,0,0,0,0.00021505376,0.00021915407,0,0,0.00021208908,0.00021710812,0.00043677659,0.00043261951,0.00043946385,0,0.00021729683,0,0,0.00021217908,0.000213858,0,0,0.00021645022,0,0,0.00042634833,0.00022016733
ἐκτανε,0,0,0,0,0.00021915407,0.00021213407,0,0,0,0.00021838829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εἰς,0.0062459617,0.0088859991,0.0081127242,0.007311828,0.0076703923,0.0063640221,0.0063789071,0.0061505832,0.0082501086,0.0091723084,0.0049751244,0.0072511536,0.0081597595,0.0052151239,0.0087308348,0.0095965104,0.0093358795,0.0066295979,0.0058378378,0.0078671329,0.01017316,0.0080733144,0.0089974293,0.009166489,0.0063848525
κλισιην,0,0.00021673169,0,0,0,0,0,0,0,0,0.00021630976,0,0.00021473051,0,0,0,0.00021217908,0,0,0,0,0,0,0,0
πλινθιον,0,0,0.00021349274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
επανω,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021853147,0,0,0,0.00021317416,0
ἁμαξων,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0,0,0,0,0,0,0
τιθεμενον,0,0,0,0,0,0,0,0,0,0,0,0,0.00021473051,0,0,0,0,0,0.00021621622,0,0,0,0,0,0.00022016733
ἀνωγεν,0,0.00021673169,0,0.00021505376,0.00021915407,0,0,0,0,0,0.00021630976,0,0,0,0,0,0.00021217908,0,0,0,0.00021645022,0,0.00021422451,0,0
ἐξω,0.00064613397,0.00021673169,0,0.00021505376,0,0.00063640221,0.00042526047,0.00063626723,0.00065132436,0.00065516488,0.00021630976,0,0.00042946103,0.00021729683,0.00021294719,0.00043620502,0.00084871632,0.000427716,0.00086486486,0.00021853147,0,0,0.00021422451,0.00021317416,0.00044033465
ανηρετο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021645022,0,0,0,0
μυθω,0,0,0,0,0,0.00021213407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021422451,0,0
κατεχοιμι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021317416,0
ἐσθιειν,0,0.00021673169,0,0,0,0.00042426814,0,0.00021208908,0,0,0,0,0,0,0,0.00021810251,0,0.000427716,0,0,0,0.00021819769,0,0,0
παρελκει,0.00021537799,0,0.00021349274,0.00043010753,0,0.00021213407,0.00042526047,0.00021208908,0.00021710812,0.00021838829,0.00021630976,0.00043946385,0.00021473051,0,0,0.00021810251,0,0,0.00021621622,0.00021853147,0,0.00021819769,0.00042844901,0,0
