Source,Target,Weight,Type
urn:cts:greekLit:tlg5026.msA.hmt:1.1,0,0.062893082,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,1,0.031446541,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,2,0.044025157,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,3,0.025157233,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,4,0.0062893082,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,5,0.044025157,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,6,0.044025157,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,7,0.012578616,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,8,0.050314465,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,9,0.037735849,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,10,0.06918239,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,11,0.06918239,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,12,0.031446541,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,13,0.025157233,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,14,0.044025157,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.1,15,0.031446541,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,0,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,1,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,2,0.15,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,4,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,7,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,8,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,10,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,11,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.2,15,0.05,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,0,0.046511628,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,1,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,3,0.069767442,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,4,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,6,0.11627907,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,7,0.093023256,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,8,0.046511628,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,9,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,11,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,12,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,13,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,14,0.046511628,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.3,15,0.023255814,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,1,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,4,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,6,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,7,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,9,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.4,13,0.1,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,1,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,3,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,4,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,6,0.060606061,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,7,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,8,0.12121212,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,10,0.060606061,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,11,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,13,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.5,14,0.03030303,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,0,0.12820513,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,2,0.12820513,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,3,0.051282051,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,4,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,5,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,8,0.051282051,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,9,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,10,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,13,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.6,14,0.025641026,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,0,0.047058824,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,1,0.035294118,undirected
