word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
μηνιν,0,0,0.00016960651,0,0,0,0,0,0,0.00033467202,0.00033641716,0,0,0,0,0
αειδε,0,0,0,0,0.00016860563,0,0,0,0,0,0,0.00033411293,0,0.00033534541,0,0
ζητουσι,0,0,0,0.00016818029,0,0.00016482611,0,0,0,0,0,0,0,0,0.00016680567,0
μηνιδος,0,0,0,0,0,0.00016482611,0.00032846116,0,0,0,0.00033641716,0,0,0.0001676727,0,0.00016818029
ηρξατο,0,0,0,0.00016818029,0,0,0,0.00016764459,0,0,0.00033641716,0.00016705647,0,0,0,0.00033636058
δυσφημου,0,0,0,0,0,0,0,0,0,0.00016733601,0,0,0,0,0,0
ονοματοσ,0,0,0,0,0,0,0,0,0,0,0,0,0.00016940539,0,0,0
πρωτον,0.0011684193,0.00067911715,0.00084803256,0.0013454423,0.0010116338,0.00065930443,0.0011496141,0.00033528919,0.00017193948,0.0011713521,0.00084104289,0.0018376211,0.00067762155,0.00067069081,0.001000834,0.00084090145
παθους,0,0,0,0,0,0.00016482611,0,0,0,0,0,0.00016705647,0,0,0,0
απκαταρρευσῃ,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
τοιουτο,0.00016691704,0.00016977929,0.00084803256,0.00016818029,0.00033721126,0.00016482611,0.00016423058,0.00083822297,0.00017193948,0.00016733601,0.00033641716,0.00033411293,0.00050821616,0.00067069081,0.00066722269,0.00016818029
μοριον,0.00016691704,0.00016977929,0,0,0.00033721126,0,0,0,0,0.00016733601,0.00016820858,0.00016705647,0,0.0001676727,0.00016680567,0.00016818029
ψυχης,0.00033383408,0.00033955857,0,0.00016818029,0.00016860563,0.00049447833,0,0,0.00051581843,0.00033467202,0,0,0.00033881077,0.00033534541,0,0.00016818029
προσεκτικωτερους,0,0,0,0,0,0,0,0.00016764459,0,0,0,0,0,0,0,0
ακροατας,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0,0,0,0
μεγεθους,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
ποιησῃ,0,0,0,0.00016818029,0,0,0,0,0.00017193948,0.00016733601,0,0,0,0.0001676727,0,0
προσεθιζῃ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001676727,0,0
φερειν,0,0,0,0.00016818029,0.00016860563,0,0.00016423058,0,0,0,0.00016820858,0,0,0.00033534541,0.00016680567,0.00016818029
γενναιως,0,0,0,0,0,0,0,0,0,0.00016733601,0,0.00016705647,0,0,0,0
ημας,0,0.00033955857,0,0.00033636058,0,0.00065930443,0.00016423058,0.00016764459,0.00051581843,0.00066934404,0.00033641716,0.00033411293,0.00084702694,0,0.00016680567,0.00050454087
παθη,0.00016691704,0,0,0.00016818029,0,0,0.00016423058,0.00016764459,0,0.00016733601,0,0.00016705647,0.00016940539,0,0.00016680567,0.00016818029
μελλων,0.00016691704,0,0,0.00050454087,0,0.00032965222,0,0,0,0.00016733601,0,0,0.00016940539,0.0001676727,0.00016680567,0
πολλεμους,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
απαγγελλειν,0,0,0,0.00016818029,0,0,0,0,0,0.00016733601,0,0,0,0,0,0
δευτερον,0.00083458521,0.00084889643,0.00084803256,0.00050454087,0.00033721126,0.00065930443,0.00016423058,0.0016764459,0.00034387895,0.00033467202,0.0010092515,0.0005011694,0.00033881077,0.00050301811,0.00050041701,0.0013454423
εγκωμια,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0,0,0,0
ελληνων,0.00016691704,0.00067911715,0.00050881954,0.00033636058,0.00067442253,0.00032965222,0.00032846116,0.00016764459,0.00068775791,0.00033467202,0.00033641716,0.00066822586,0.00050821616,0.00033534541,0.001501251,0.00016818029
πιθανωτερα,0,0,0,0,0,0,0,0,0.00034387895,0,0,0,0,0,0,0
εμελλε,0.00016691704,0,0.00016960651,0,0,0.00016482611,0,0,0.00017193948,0.00050200803,0,0.00016705647,0.00033881077,0.0001676727,0.00016680567,0.00016818029
νικωντας,0,0.00016977929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αποφαινειν,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
ελληνας,0,0.00033955857,0,0,0.00033721126,0,0.00032846116,0.00033528919,0.00051581843,0.00033467202,0.00050462574,0,0.00016940539,0,0.00033361134,0.00033636058
εικοτως,0.00016691704,0.00016977929,0.00033921303,0.00016818029,0,0,0,0,0.00051581843,0.00016733601,0.00033641716,0.00016705647,0.00016940539,0.0001676727,0,0.00084090145
κατατρεχει,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0,0,0,0
αξιοπιστοτερον,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
παντα,0.00050075113,0.00050933786,0.00084803256,0.0010090817,0.00067442253,0.00098895665,0.001970767,0.0018440905,0.0012035763,0.00083668005,0.0010092515,0.0015035082,0.0013552431,0.0010060362,0.00016680567,0.0015136226
χαριζεσθαι,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0.00016940539,0,0,0
εκεινων,0.00016691704,0,0,0,0.00016860563,0,0,0.00016764459,0.00017193948,0.00016733601,0.00016820858,0.00016705647,0,0,0,0
επαινῳ,0.00016691704,0,0.00016960651,0,0,0,0,0,0,0.00016733601,0,0,0,0,0,0
επειπερ,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
πρακτικοις,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0,0,0,0
υποθεσις,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
