word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
ουκ,0,0,0,0,0,0,0,0,0,0,0,0,0
αναστρεπτεον,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
την,0,0,0,0,0,0,0,0,0,0,0,0,0
προθ,0,0,0,0,0,0,0,0,0,0,0,0,0.1
ως,0,0,0,0,0,0,0,0,0,0,0,0,0
τυραννιων,0,0,0,0,0,0,0,0,0,0,0,0,0.1
και,0,0,0,0,0,0,0,0,0,0,0,0,0
πτολεμαιος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
οποτε,0,0,0,0,0,0,0,0,0,0,0,0,0.1
γαρ,0,0,0,0,0,0,0,0,0,0,0,0,0
γενικῃ,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
συνταττεται,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
απο,0,0,0,0,0,0,0,0,0,0,0,0,0
τηρει,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
τον,0,0,0,0,0,0,0,0,0,0,0,0,0
τονον,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
τις,0,0,0,0,0,0,0,0,0,0,0,0,0
ενα,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
μηνα,0,0,0,0,0,0,0,0,0,0,0,0,0.1
μενων,0,0,0,0,0,0,0,0,0,0,0,0,0.1
ης,0,0,0,0,0,0,0,0,0,0,0,0,0
αλοχοιο,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
το,0,0,0,0,0,0,0,0,0,0,0,0,0
ημιστιχιον,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
τοις,0,0,0,0,0,0,0,0,0,0,0,0,0
επανω,0,0.10526316,0,0,0,0,0,0,0,0,0,0,0
εξης,0,0.15789474,0,0.16666667,0,0,0,0,0,0,0,0,0
προσδοτεον,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
εαν,0,0,0,0,0.25,0,0,0,0,0,0,0,0
μεν,0,0,0,0,0,0,0,0,0,0,0,0,0
ουν,0,0,0,0,0,0,0,0,0,0,0,0,0
μονος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
θωραξ,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
εσται,0,0,0.17647059,0,0,0,0,0,0,0,0,0,0
του,0,0,0,0,0,0,0,0,0,0,0,0,0
διος,0,0.10526316,0,0,0,0,0,0,0,0,0,0,0
δε,0,0,0,0,0,0,0,0,0,0,0,0,0
παντα,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
τα,0,0,0,0,0,0,0,0,0,0,0,0,0
οπλα,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
αυτου,0,0,0,0,0,0,0,0,0,0,0,0,0
οπερ,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0
πιθανον,0,0,0,0,0,0,0,0,0,0.2,0,0,0
ουτως,0,0,0,0,0,0,0,0,0,0,0,0,0
αρισταρχος,0,0,0,0,0,0,0,0,0,0,0,0,0.1
οτι,0,0,0,0,0,0,0,0,0,0,0,0,0
εντευθ,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
