Source,Target,Weight,Type
0,0,0.066666667,undirected
0,1,0.033333333,undirected
0,3,0.066666667,undirected
0,4,0.066666667,undirected
0,7,0.033333333,undirected
0,8,0.033333333,undirected
0,9,0.066666667,undirected
0,10,0.033333333,undirected
0,12,0.066666667,undirected
0,13,0.033333333,undirected
0,14,0.066666667,undirected
1,0,0.03030303,undirected
1,3,0.12121212,undirected
1,4,0.03030303,undirected
1,5,0.060606061,undirected
1,6,0.03030303,undirected
1,9,0.060606061,undirected
1,10,0.03030303,undirected
1,11,0.03030303,undirected
1,14,0.03030303,undirected
1,15,0.03030303,undirected
2,0,0.090909091,undirected
2,4,0.18181818,undirected
2,6,0.090909091,undirected
2,7,0.090909091,undirected
3,0,0.027777778,undirected
3,1,0.055555556,undirected
3,2,0.055555556,undirected
3,6,0.055555556,undirected
3,8,0.083333333,undirected
3,9,0.055555556,undirected
3,12,0.083333333,undirected
3,14,0.11111111,undirected
4,0,0.032786885,undirected
4,1,0.081967213,undirected
4,2,0.032786885,undirected
4,3,0.049180328,undirected
4,4,0.016393443,undirected
4,5,0.016393443,undirected
4,6,0.032786885,undirected
4,7,0.016393443,undirected
4,8,0.016393443,undirected
4,9,0.032786885,undirected
4,10,0.06557377,undirected
4,11,0.049180328,undirected
4,12,0.016393443,undirected
4,13,0.032786885,undirected
4,14,0.032786885,undirected
4,15,0.032786885,undirected
5,0,0.026548673,undirected
5,1,0.017699115,undirected
5,3,0.017699115,undirected
5,4,0.026548673,undirected
5,5,0.053097345,undirected
5,6,0.03539823,undirected
5,7,0.026548673,undirected
5,8,0.03539823,undirected
5,9,0.044247788,undirected
5,10,0.026548673,undirected
5,11,0.061946903,undirected
5,12,0.044247788,undirected
5,13,0.03539823,undirected
5,14,0.017699115,undirected
5,15,0.026548673,undirected
6,1,0.055555556,undirected
6,2,0.055555556,undirected
6,3,0.055555556,undirected
6,5,0.055555556,undirected
6,7,0.055555556,undirected
6,8,0.055555556,undirected
6,10,0.11111111,undirected
6,12,0.055555556,undirected
6,14,0.055555556,undirected
7,0,0.076923077,undirected
7,1,0.076923077,undirected
7,5,0.076923077,undirected
7,6,0.076923077,undirected
7,8,0.076923077,undirected
7,11,0.076923077,undirected
7,13,0.076923077,undirected
7,15,0.076923077,undirected
8,0,0.071428571,undirected
8,1,0.071428571,undirected
8,3,0.071428571,undirected
8,5,0.14285714,undirected
8,9,0.071428571,undirected
8,12,0.071428571,undirected
8,15,0.14285714,undirected
9,0,0.04,undirected
9,2,0.08,undirected
9,3,0.08,undirected
9,4,0.04,undirected
9,5,0.04,undirected
9,7,0.08,undirected
9,9,0.08,undirected
9,11,0.04,undirected
9,13,0.04,undirected
10,2,0.055555556,undirected
10,7,0.11111111,undirected
10,9,0.055555556,undirected
10,10,0.055555556,undirected
10,11,0.055555556,undirected
10,13,0.055555556,undirected
10,14,0.055555556,undirected
11,0,0.022988506,undirected
11,1,0.057471264,undirected
11,2,0.045977011,undirected
11,3,0.011494253,undirected
11,4,0.08045977,undirected
11,5,0.011494253,undirected
11,6,0.011494253,undirected
11,7,0.057471264,undirected
11,8,0.022988506,undirected
11,9,0.057471264,undirected
11,10,0.022988506,undirected
11,11,0.034482759,undirected
11,12,0.057471264,undirected
11,14,0.045977011,undirected
11,15,0.068965517,undirected
12,0,0.047619048,undirected
12,3,0.047619048,undirected
12,4,0.047619048,undirected
