word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
οτι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δυο,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εμεριμνησεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
ουκ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εναντια,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αλληλοις,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0
οπερ,0,0,0,0,0,0,0,0.0049019608,0,0.0042918455,0,0,0,0,0,0.0044642857
εκλαβων,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0,0
τις,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
προσεθηκεν,0,0,0,0,0,0,0,0,0,0,0,0,0.010050251,0,0,0
ηε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
χολον,0,0,0,0,0.0047393365,0,0,0,0,0,0,0,0,0,0,0
παυσειεν,0,0,0,0.0048543689,0,0,0,0,0,0,0,0,0,0,0,0
βραχυ,0.0049751244,0.004784689,0,0.0048543689,0,0.0046296296,0,0,0.0052083333,0,0.014925373,0.015228426,0.010050251,0.0047393365,0.014285714,0.0089285714
δε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
διασταλτεον,0.0049751244,0.004784689,0.0093896714,0.0097087379,0.018957346,0.0046296296,0.0049261084,0.0049019608,0.010416667,0.0042918455,0.0099502488,0.010152284,0.010050251,0.009478673,0.0095238095,0
επι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
το,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μερμηριξεν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
γαρ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
λογος,0,0,0,0,0.014218009,0,0.0098522167,0,0.0052083333,0.0042918455,0,0.0050761421,0.0050251256,0,0,0
διχως,0,0,0,0.0048543689,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
ελογισατο,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τους,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αναστησαι,0.0049751244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αγαμεμνονα,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0.0050251256,0.0047393365,0,0
ανελειν,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
ητοι,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
στικτεον,0,0.009569378,0.0046948357,0.0048543689,0,0.0092592593,0,0.014705882,0.020833333,0.008583691,0,0,0,0,0,0.0044642857
ερεω,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
