word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
ητοι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
στικτεον,0,0,0,0,0,0,0.11428571,0.021276596,0,0,0,0,0,0
επι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
το,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ερεω,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
βραχυ,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0
διασταλτεον,0,0.11363636,0,0,0,0,0,0,0,0,0,0,0,0
εαν,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0
μεν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ουν,0,0,0,0,0,0,0,0,0,0,0,0,0,0
στιζωμεν,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
εσται,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0
λεγομενον,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
τουτο,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δε,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τετελεσθαι,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
υπολαμβανω,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0
διαστελλωμεν,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
κειμενος,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
αντι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
του,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δη,0,0,0,0,0,0,0,0,0,0,0,0,0,0
και,0,0,0,0,0,0,0,0,0,0,0,0,0,0
υποτακτικου,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
οτι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εκ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εναντιου,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0
εναντιον,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ακουστεον,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ουκ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
εγηθησεν,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
αλλ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ελυπηθη,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ουτως,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ψιλως,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
προενεκτεον,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
αρισταρχος,0,0,0,0,0,0,0,0.042553191,0,0,0,0,0,0
ηκουε,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
τας,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δεινας,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
απτοητουσ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
ζηνοδοτος,0,0,0,0,0,0,0,0.063829787,0,0,0.088888889,0,0,0
αυτος,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ομοιως,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0
τῳ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
πνι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
εις,0,0,0,0,0,0,0,0,0,0,0,0,0,0
