Source,Target,Weight,Type
0,0,0.24242424,undirected
0,2,0.03030303,undirected
0,4,0.045454545,undirected
0,9,0.03030303,undirected
0,10,0.18181818,undirected
0,12,0.060606061,undirected
1,2,0.22222222,undirected
1,3,0.16666667,undirected
1,12,0.055555556,undirected
2,0,0.04,undirected
2,4,0.08,undirected
2,10,0.04,undirected
2,11,0.04,undirected
2,12,0.32,undirected
3,5,0.32653061,undirected
3,8,0.10204082,undirected
3,9,0.10204082,undirected
4,2,0.4,undirected
4,5,0.13333333,undirected
5,3,0.086956522,undirected
5,5,0.32608696,undirected
5,6,0.02173913,undirected
5,7,0.065217391,undirected
6,1,0.27659574,undirected
6,5,0.042553191,undirected
6,6,0.19148936,undirected
6,8,0.10638298,undirected
7,0,0.36842105,undirected
8,4,0.28,undirected
8,10,0.24,undirected
9,1,0.4516129,undirected
9,8,0.096774194,undirected
9,11,0.12903226,undirected
10,1,0.18181818,undirected
10,7,0.40909091,undirected
11,5,0.27272727,undirected
11,12,0.45454545,undirected
12,4,0.037037037,undirected
12,6,0.40740741,undirected
12,8,0.055555556,undirected
12,12,0.092592593,undirected
13,1,0.11111111,undirected
13,3,0.14814815,undirected
13,6,0.11111111,undirected
13,7,0.037037037,undirected
13,9,0.037037037,undirected
13,10,0.037037037,undirected
14,0,0.0625,undirected
14,4,0.125,undirected
14,8,0.041666667,undirected
14,9,0.14583333,undirected
14,11,0.083333333,undirected
15,2,0.047619048,undirected
15,4,0.095238095,undirected
15,10,0.16666667,undirected
15,11,0.19047619,undirected
16,5,0.032786885,undirected
16,6,0.032786885,undirected
16,9,0.24590164,undirected
16,12,0.16393443,undirected
17,3,0.058823529,undirected
17,4,0.014705882,undirected
17,7,0.10294118,undirected
17,8,0.20588235,undirected
17,9,0.14705882,undirected
18,2,0.22580645,undirected
18,4,0.016129032,undirected
18,5,0.016129032,undirected
18,9,0.016129032,undirected
18,11,0.27419355,undirected
19,0,0.33333333,undirected
19,2,0.13333333,undirected
20,0,0.064516129,undirected
20,3,0.48387097,undirected
21,2,0.071428571,undirected
21,8,0.5,undirected
22,5,0.14285714,undirected
22,6,0.14285714,undirected
22,8,0.28571429,undirected
23,8,0.25,undirected
23,9,0.125,undirected
