word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
του,0,0,0,0,0,0,0,0,0,0,0,0,0
σφισιν,0,0,0,0,0,0,0,0,0,0,0.088235294,0,0
την,0,0,0,0,0,0,0,0,0,0,0,0,0
πρωτην,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0
οξυτονητεον,0.088235294,0,0,0,0,0,0,0,0,0,0,0,0
επειδηπερ,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
εις,0,0,0,0,0,0,0,0,0,0,0,0,0
συνθετον,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
μεταληψις,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
ει,0,0,0,0,0,0,0,0,0,0,0,0,0
και,0,0,0,0,0,0,0,0,0,0,0,0,0
ουκ,0,0,0,0,0,0,0,0,0,0,0,0,0
εστι,0,0,0,0,0,0,0,0,0,0,0,0,0
διηνεκης,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
λογος,0,0,0,0,0,0,0,0,0,0,0.088235294,0,0
γαρ,0,0,0,0,0,0,0,0,0,0,0,0,0
τινα,0,0,0,0,0,0,0,0,0,0,0,0,0
εναντιουμεθα,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
ενα,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0
τους,0,0,0,0,0,0,0,0,0,0,0,0,0
αναγον,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
ζῳους,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
εργαζεσθαι,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
αναγκῃ,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
σφισι,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0
αυτοις,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0
δαιτα,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
πενεσθαι,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
οτι,0,0,0,0,0,0,0,0,0,0,0,0,0
μετα,0,0,0,0,0,0,0,0,0,0,0,0,0
προθεσεως,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
εστιν,0,0,0,0,0,0,0,0,0,0,0,0,0
οταν,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
προθεσις,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
αντωνυμιας,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
ορθοτονειται,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
αντωνυμια,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
συν,0,0,0,0,0,0,0,0,0,0,0,0,0
σοι,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
δια,0,0,0,0,0,0,0,0,0,0,0,0,0
θεα,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
προτι,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
οι,0,0,0,0,0,0,0,0,0,0,0,0,0
ελαβ,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
εντεα,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
κατα,0,0,0,0,0,0,0,0,0,0,0,0,0
σφεας,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
μαχεοιντο,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
απο,0,0,0,0,0,0,0,0,0,0,0,0,0
εο,0,0,0,0,0,0,0,0,0,0,0,0,0
καββαλεν,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
αμφι,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
παπτηνας,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
αλτ,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
επι,0,0,0,0,0,0,0,0,0,0,0,0,0
μεμαως,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ζητησιν,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
εχοντος,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
αμφιβολος,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
στιγμη,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
το,0,0,0,0,0,0,0,0,0,0,0,0,0
μοριον,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
επει,0,0,0,0,0,0,0,0,0,0,0,0,0
αυτο,0,0,0,0,0,0,0,0,0,0,0,0,0
αμφιβολον,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
ομως,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
δε,0,0,0,0,0,0,0,0,0,0,0,0,0
ος,0,0,0,0,0,0,0,0,0,0,0,0,0
υποτακτικον,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
αρθ,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0
μεταληπτεον,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
αναστρεπτεον,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
προθ,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ως,0,0,0,0,0,0,0,0,0,0,0,0,0
τυραννιων,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
πτολεμαιος,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
οποτε,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
γενικῃ,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
συνταττεται,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
τηρει,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
τον,0,0,0,0,0,0,0,0,0,0,0,0,0
τονον,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
τις,0,0,0,0,0,0,0,0,0,0,0,0,0
μηνα,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
μενων,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ης,0,0,0,0,0,0,0,0,0,0,0,0,0
αλοχοιο,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
τουτου,0,0,0,0,0,0,0,0,0,0,0,0,0
εως,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0
ηρωες,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
δαναοι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
αθετουνται,0,0,0.025641026,0,0,0,0,0,0,0.071428571,0,0,0
στιχοι,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0
πεζοτεροι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
τῃ,0,0,0,0,0,0,0,0,0,0,0,0,0
συνθεσει,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ησαι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ου,0,0,0,0,0,0,0,0,0,0,0,0,0
κυριως,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
δεξασθαι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
καθηται,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ουδ,0,0,0,0,0,0,0,0,0,0,0,0,0
διομηδης,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
λεγει,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0
τεττα,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
σιωπῃ,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ησω,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
αντι,0,0,0,0,0,0,0,0,0,0,0,0,0
ησυχαζε,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
διασταλτεον,0,0,0,0,0,0,0,0,0.11627907,0,0,0,0
τελος,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0
στιχου,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0
επιφερομενον,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
τοιουτον,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ποτερον,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ευ,0,0,0,0,0,0,0,0,0,0,0,0,0
κακως,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
δι'ο,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
περισπαται,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
εν,0,0,0,0,0,0,0,0,0,0,0,0,0
μιᾳ,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
οξειᾳ,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
προενεκτεον,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
πασα,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
διβραχυς,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
λεξις,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
προ,0,0,0,0,0,0,0,0,0,0,0,0,0
εγκλιτικου,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
επιδεχεται,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
επαλληλον,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
οξειαν,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
μη,0,0,0,0,0,0,0,0,0,0,0,0,0
επιφεροιτο,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
αντωνυμιᾳ,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
σφ,0,0,0,0,0,0,0,0,0,0,0,0,0
σεσημειωμενου,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
ενθ,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
εσαν,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
πεπλοι,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0
μεν,0,0,0,0,0,0,0,0,0,0,0,0,0
θησεως,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
μρα,0,0,0,0,0,0,0,0.05,0,0,0,0,0
αθετητεον,0,0,0,0,0,0.022727273,0,0,0,0.023809524,0,0,0
απιθανον,0,0,0,0,0,0,0,0.05,0,0,0,0,0
ελενης,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
αμφιπολον,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ουτως,0,0,0,0,0,0,0,0,0,0,0,0,0
υπεραρχαιαν,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ην,0,0,0,0,0,0,0,0,0,0,0,0,0
εκποιει,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ζην,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
μηκος,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
χρονου,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
ομωνυμια,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
καθαπερ,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
πλειονων,0,0,0,0,0,0,0,0.05,0,0,0,0,0
δυναται,0,0,0,0,0,0,0.10526316,0,0,0,0,0,0
μενειν,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
αλλοι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
εισιν,0,0,0,0,0,0,0,0,0,0,0,0,0
ομωνυμοι,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
τινες,0,0,0,0,0,0,0,0,0,0,0,0,0
τα,0,0,0,0,0,0,0,0,0,0,0,0,0
ϊλιακα,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
αδραστος,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
τευθρας,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
οινομαος,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
αθετειται,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
αναγκαιως,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
επιλεγεται,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
καιρος,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
συντομον,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
εχειν,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
θελει,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
διον,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
ακαιρως,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
μενελαος,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
εχθρον,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
εαν,0,0.14705882,0,0,0,0,0,0,0,0,0,0,0
γραφηται,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δαμηναι,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
βραχυ,0,0,0,0,0,0,0,0,0.093023256,0,0,0,0
διαστελουμεν,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
αλεξανδρον,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
κοινον,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0
δοσ,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δαμασσον,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δευτεραν,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
ανω,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
θετεον,0,0,0,0,0,0,0,0,0.093023256,0,0,0,0
καθ,0,0,0,0,0,0,0,0,0,0,0,0,0
εαυτο,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
πληρες,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
ειναι,0,0,0,0,0,0,0,0,0,0,0,0,0
εξης,0,0.058823529,0,0,0,0,0,0.05,0,0,0,0,0
συνδεσμον,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
περισπαστεον,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0
πη,0,0,0,0,0,0,0,0,0,0,0,0,0
με,0,0,0,0,0,0,0,0,0,0,0,0,0
εγκλιτικον,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
ενθαδε,0.029411765,0,0,0,0,0,0,0,0,0.023809524,0,0,0
πυσμα,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
αλλα,0,0,0,0,0,0,0,0,0,0,0,0,0
αοριστον,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
απ,0,0,0,0,0,0,0,0,0,0,0,0,0
αλλης,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
αρχης,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
νικησας,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
ασυνδετος,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
προστα,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
επανω,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
υποστικτεον,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
υποκρισει,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
αγεσθαι,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
των,0,0,0,0,0,0,0,0,0,0,0,0,0
ανταποδοτικων,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0
ταυτα,0,0,0,0,0,0,0,0,0,0,0,0,0
ουνεκα,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
τουνεκα,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
σχετλιη,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
μεθειω,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0
απεχθηρω,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
στικτεον,0,0.088235294,0,0,0,0,0,0,0,0,0,0,0
φιλησα,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
μητισομαι,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
οριστικον,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
υποτακτι,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
συνεσταλμενον,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
κακει,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
διαστολην,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
ινα,0,0,0,0,0,0,0,0,0,0,0,0,0
επιρρ,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
παντων,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
σε,0,0,0,0,0,0,0,0,0,0,0,0,0
κελομαι,0,0,0,0,0,0,0,0.1,0,0,0,0,0
απαρεμφατα,0,0,0,0,0,0,0,0.1,0,0,0,0,0
προστακτικων,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
πολεμιζε,0,0,0,0,0,0,0,0.05,0,0,0,0,0
μαχου,0,0,0,0,0,0,0,0.05,0,0,0,0,0
βραχ,0,0,0,0,0,0,0,0.05,0,0,0,0,0
διαστελλωμεν,0,0,0,0,0,0,0,0.05,0,0,0,0,0
οντως,0,0,0,0,0,0,0,0.05,0,0,0,0,0
ορθῃ,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
τασει,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
αναγνωστεον,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
αντιδιαστολη,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0
προς,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0.060606061
απειρα,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
πολεμου,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
προσωπα,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ουδαμου,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
ομηρος,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
τεθριππου,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
χρησιν,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
παρεισαγει,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
μαχεται,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
επαγομενα,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δυϊκα,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
προσφωνησις,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
ευηθησ,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
εκαστον,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303
ονομα,0,0,0,0,0,0,0,0,0.046511628,0,0,0,0
καν,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
συναπτηται,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
ψυχρον,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
εκεινο,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
νοεισθαι,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
δυο,0,0,0,0,0,0,0,0,0,0,0,0,0
επιθετα,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0
κυρια,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0
συνδεσμοι,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
παρακειμενοι,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
χωριζουσιν,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
αυτα,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
αλληλων,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
ουδεποτε,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
συνδειται,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
εφατο,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
υποστιζεσθαι,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
ιν,0,0,0,0,0,0,0,0,0,0,0,0,0
ειπεν,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
ουτοι,0,0,0,0,0,0,0,0,0,0,0,0,0
μαρτυρησουσιν,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
επιτετηδευται,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
αναγνωσις,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0
θαυμαστον,0,0,0,0,0,0,0,0.05,0,0,0,0,0
ολοι,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
απρεπεις,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0
γραπτεον,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
τρεις,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0
στιχους,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
τι,0,0,0,0,0,0,0,0,0,0,0,0,0
χρη,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
πιστευειν,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
αμμωνιῳ,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
τῳ,0,0,0,0,0,0,0,0,0,0,0,0,0
δραδεξαμενῳ,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
σχολην,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
περι,0,0,0,0,0,0,0,0,0,0,0,0,0
γεγονεναι,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0
πλειονας,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0
εκδοσεις,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
της,0,0,0,0,0,0,0,0,0,0,0,0,0
αρισταρχειου,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
διορθωσεως,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
τουτο,0,0,0,0,0,0,0,0,0,0,0,0,0
φασκοντι,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0
παρα,0,0,0,0,0,0,0,0,0,0,0,0,0
αριστοφανει,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0
ηθετουντο,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
ταις,0,0,0,0,0,0,0,0,0,0,0,0,0
αρισταρχου,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0
